stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,station_color,color_code,interchange
509,,Noida Sector 143,,28.494246,77.422318,Aqua,#00FFFF,FALSE
510,,Noida Sector 144,,28.486376,77.432968,Aqua,#00FFFF,FALSE
511,,Noida Sector 145,,28.47913,77.442307,Aqua,#00FFFF,FALSE
512,,Noida Sector 146,,28.468822,77.455101,Aqua,#00FFFF,FALSE
513,,Noida Sector 147,,28.4594,77.465965,Aqua,#00FFFF,FALSE
514,,Noida Sector 148,,28.448021,77.476692,Aqua,#00FFFF,FALSE
515,,Knowledge Park,,28.456865,77.500298,Aqua,#00FFFF,FALSE
516,,Pari Chowk,,28.463331,77.508308,Aqua,#00FFFF,FALSE
517,,Alpha 1,,28.470879,77.512718,Aqua,#00FFFF,FALSE
518,,Delta 1,,28.478374,77.525581,Aqua,#00FFFF,FALSE
519,,GNIDA Office,,28.484531,77.536621,Aqua,#00FFFF,FALSE
520,,Depot Station,,28.488651,77.544075,Aqua,#00FFFF,FALSE
